split_seed,partition_index,model_seed_count,accuracy_mean,accuracy_sd,precision_mean,precision_sd,recall_mean,recall_sd,macro_f1_mean,macro_f1_sd,auc_roc_mean,auc_roc_sd,auc_pr_mean,auc_pr_sd,brier_score_mean,brier_score_sd
42,0,10,0.9681818181818181,0.004791329788133933,0.9555376344086021,0.015527771546897065,0.934375,0.009882117688026174,0.9611983336669156,0.005737701582389346,0.9923076923076923,0.0004548447213121427,0.9831268869407601,0.0009830247352813452,0.03045941867037131,0.0011825047521116993
52,1,10,0.9616822429906542,0.008183131175429108,0.9581086956521739,0.0015259316527314068,0.8807692307692309,0.03367673214503515,0.9462884284806382,0.012072606790103165,0.9906932573599241,0.0009283240454963294,0.9535290870376221,0.007040756353284797,0.02812845918064431,0.0010359324957754884
62,2,10,0.9710280373831776,0.002955399682400353,0.9006493506493506,0.013005037996363471,0.95,0.0,0.9533450070640356,0.004424364339396599,0.9916666666666666,0.00030290015901996407,0.9718045687226748,0.001128866174850539,0.027309183877611748,0.000955647604711455
72,3,10,0.9527777777777778,0.002928034870526295,0.9521428571428571,0.0007529232524210346,0.8291666666666668,0.013176156917368268,0.9282797373984645,0.004885162440043498,0.9863591269841269,0.0010779104505957192,0.9547777560269196,0.003826278589099312,0.04211281286250122,0.0007101965857363349
82,4,10,0.9458715596330276,0.002901172165292112,0.8625287356321838,0.0014539207632958372,0.9296296296296296,0.011712139482105092,0.929180287675711,0.004016835022609834,0.9842818428184282,0.0012194192551229861,0.9369093957861795,0.009600196767806105,0.037873625236051256,0.0014665246486456577
92,5,10,0.9638095238095238,0.004015590679578863,0.8683333333333334,0.0035136418446315367,0.8800000000000001,0.028109134757052255,0.9264243807693078,0.00885892806528947,0.9917777777777778,0.0010734353145325757,0.9494669578787225,0.007353711859090611,0.026902385484808333,0.0007028706479278958
102,6,10,0.9625,0.0037646162621051953,0.9229855072463768,0.01186463988380821,0.908,0.019321835661585938,0.9455897681956795,0.0057625765955328844,0.9915862068965516,0.0006149395447582948,0.9771936047169,0.0016989438929866866,0.027282372705740854,0.00049437151317642
112,7,10,0.9564814814814815,0.006249523682505078,0.8332378987551401,0.020334299593571987,0.9956521739130435,0.013749033305079905,0.9393147278274411,0.00822751261141361,0.9868542199488491,0.000421111305549147,0.9360476175539059,0.004078673318170751,0.03868407535186569,0.0010878299358557026
122,8,10,0.9348623853211009,0.0029011721652921246,0.8598814229249012,0.011874165127114462,0.826086956521739,0.0,0.9007706739451891,0.003859036224339274,0.9825581395348838,0.00083413337854833,0.9379208914898707,0.0019330293017189876,0.0468407376759161,0.0014116460747952465
132,9,10,0.962135922330097,0.0055111282737625835,0.9377705627705627,0.020841569619341613,0.8818181818181818,0.02347262634065098,0.9423679395182353,0.008445297005706705,0.9887205387205388,0.0008951355117101042,0.9682936337968675,0.0023355514408518667,0.033299009347052246,0.0009663530255312399
