configuration,split_seed,validation_seed,model_seed,xgb_weight,lgbm_weight,accuracy,precision,recall,macro_f1,auc_roc,auc_pr,brier_score,tn,fp,fn,tp,partition_index
Cell_A_primary_50_50_without_attendance_decay,42,43,42,0.5,0.5,0.9636363636363636,0.9666666666666667,0.90625,0.9550837076357697,0.9919871794871795,0.9828184498060749,0.030967842003049445,77,1,3,29,0
Cell_A_primary_50_50_without_attendance_decay,42,43,43,0.5,0.5,0.9636363636363636,0.9375,0.9375,0.9559294871794872,0.9919871794871795,0.9828184498060749,0.031209910773721938,76,2,2,30,0
Cell_A_primary_50_50_without_attendance_decay,42,43,44,0.5,0.5,0.9636363636363636,0.9375,0.9375,0.9559294871794872,0.9919871794871794,0.9820210355445453,0.031322047534641295,76,2,2,30,0
Cell_A_primary_50_50_without_attendance_decay,42,43,45,0.5,0.5,0.9636363636363636,0.9375,0.9375,0.9559294871794872,0.9919871794871795,0.982818449806075,0.031341491850718606,76,2,2,30,0
Cell_A_primary_50_50_without_attendance_decay,42,43,46,0.5,0.5,0.9727272727272728,0.967741935483871,0.9375,0.9666363360630876,0.9927884615384616,0.9837801716586684,0.030292009539286856,77,1,2,30,0
Cell_A_primary_50_50_without_attendance_decay,42,43,47,0.5,0.5,0.9727272727272728,0.967741935483871,0.9375,0.9666363360630876,0.9927884615384616,0.9844013746426763,0.028881009345583672,77,1,2,30,0
Cell_A_primary_50_50_without_attendance_decay,42,43,48,0.5,0.5,0.9727272727272728,0.967741935483871,0.9375,0.9666363360630876,0.9927884615384616,0.9844013746426763,0.031307594165291344,77,1,2,30,0
Cell_A_primary_50_50_without_attendance_decay,42,43,49,0.5,0.5,0.9727272727272728,0.967741935483871,0.9375,0.9666363360630876,0.9915865384615384,0.9816165267291519,0.031182132514758387,77,1,2,30,0
Cell_A_primary_50_50_without_attendance_decay,42,43,50,0.5,0.5,0.9727272727272728,0.967741935483871,0.9375,0.9666363360630876,0.9927884615384616,0.9840628651129903,0.027931726980093698,77,1,2,30,0
Cell_A_primary_50_50_without_attendance_decay,42,43,51,0.5,0.5,0.9636363636363636,0.9375,0.9375,0.9559294871794872,0.9923878205128205,0.9825301716586684,0.030158421996567847,76,2,2,30,0
Cell_A_primary_50_50_without_attendance_decay,52,53,42,0.5,0.5,0.9532710280373832,0.9565217391304348,0.8461538461538461,0.9338280766852196,0.9895536562203229,0.9473613969077305,0.030713878715633483,80,1,4,22,1
Cell_A_primary_50_50_without_attendance_decay,52,53,43,0.5,0.5,0.9719626168224299,0.96,0.9230769230769231,0.9613857813063875,0.9919278252611585,0.9629812115660065,0.02822566222779523,80,1,2,24,1
Cell_A_primary_50_50_without_attendance_decay,52,53,44,0.5,0.5,0.9626168224299065,0.9583333333333334,0.8846153846153846,0.9478048780487804,0.9914529914529914,0.9591350577198526,0.027948782785707525,80,1,3,23,1
Cell_A_primary_50_50_without_attendance_decay,52,53,45,0.5,0.5,0.9626168224299065,0.9583333333333334,0.8846153846153846,0.9478048780487804,0.9905033238366572,0.9500538611386561,0.027608934266348324,80,1,3,23,1
Cell_A_primary_50_50_without_attendance_decay,52,53,46,0.5,0.5,0.9532710280373832,0.9565217391304348,0.8461538461538461,0.9338280766852196,0.9905033238366572,0.9500538611386561,0.028757464509466632,80,1,4,22,1
Cell_A_primary_50_50_without_attendance_decay,52,53,47,0.5,0.5,0.9532710280373832,0.9565217391304348,0.8461538461538461,0.9338280766852196,0.9905033238366572,0.9500538611386561,0.027581841432574607,80,1,4,22,1
Cell_A_primary_50_50_without_attendance_decay,52,53,48,0.5,0.5,0.9532710280373832,0.9565217391304348,0.8461538461538461,0.9338280766852196,0.9900284900284901,0.9445593556441506,0.02842404731531338,80,1,4,22,1
Cell_A_primary_50_50_without_attendance_decay,52,53,49,0.5,0.5,0.9626168224299065,0.9583333333333334,0.8846153846153846,0.9478048780487804,0.9924026590693257,0.96647771506251,0.02739323708592638,80,1,3,23,1
Cell_A_primary_50_50_without_attendance_decay,52,53,50,0.5,0.5,0.9719626168224299,0.96,0.9230769230769231,0.9613857813063875,0.99002849002849,0.952307275030001,0.0274096795862855,80,1,2,24,1
Cell_A_primary_50_50_without_attendance_decay,52,53,51,0.5,0.5,0.9719626168224299,0.96,0.9230769230769231,0.9613857813063875,0.99002849002849,0.9523072750300011,0.027221063881392053,80,1,2,24,1
Cell_A_primary_50_50_without_attendance_decay,62,63,42,0.5,0.5,0.9719626168224299,0.9047619047619048,0.95,0.9547441139151276,0.9913793103448275,0.9714075313203946,0.026296788835027327,85,2,1,19,2
Cell_A_primary_50_50_without_attendance_decay,62,63,43,0.5,0.5,0.9719626168224299,0.9047619047619048,0.95,0.9547441139151276,0.9919540229885058,0.9705072254249553,0.02793044431972524,85,2,1,19,2
Cell_A_primary_50_50_without_attendance_decay,62,63,44,0.5,0.5,0.9719626168224299,0.9047619047619048,0.95,0.9547441139151276,0.9919540229885058,0.9724828001375989,0.02626785644113003,85,2,1,19,2
